text,avg_monthly_searches,competition_level
insilico models of drug toxicity,0,UNSPECIFIED
informationtheoretic models of the relationship between memory and prediction,0,UNSPECIFIED
latent representations in deep learning,0,UNSPECIFIED
systemlevel models of consciousness as a controlled hallucination,0,UNSPECIFIED
canonical computations of the brain,0,UNSPECIFIED
rigorous formalization of valence dynamics as a control system,0,UNSPECIFIED
peerreviewed studies of qualia,0,UNSPECIFIED
canonical models of the prefrontal cortex's topdown control of perception,0,UNSPECIFIED
validated computational models of the therapeutic effects of meditation,0,UNSPECIFIED
frontier applications of category theory to qualia science,0,UNSPECIFIED
neural annealing hyperparameters,0,UNSPECIFIED
canonical brain wave patterns,0,UNSPECIFIED
peerreviewed validation of connectomespecific harmonic wave therapy,0,UNSPECIFIED
thalamocortical circuits and attention,0,UNSPECIFIED
causal mapping of the circuits underlying the hedonic quality of touch,0,UNSPECIFIED
empirical testing of the symmetry theory of valence in the context of music,0,UNSPECIFIED
empirical studies of animal consciousness,0,UNSPECIFIED
valence computation circuits,0,UNSPECIFIED
latent structures in big data,0,UNSPECIFIED
emergent problemsolving strategies in simulated evolutionary systems,0,UNSPECIFIED
reproducible psychophysical experiments on the nature of phenomenal unity,0,UNSPECIFIED
hierarchical reinforcement learning in ai,0,UNSPECIFIED
psychedelic trajectory analysis,0,UNSPECIFIED
hierarchical bayesian brain models,0,UNSPECIFIED
canonical models of the brainstem's role in regulating cortical arousal,0,UNSPECIFIED
rigorous validation of methods for quantifying subjective experience,0,UNSPECIFIED
highimpact affective computing,0,UNSPECIFIED
latent variable models in social sciences,0,UNSPECIFIED
validated computational models for personalizing psychotherapy,0,UNSPECIFIED
insilico evolution of intelligence,0,UNSPECIFIED
dmn integrity and aging,0,UNSPECIFIED
latent semantic indexing of knowledge,0,UNSPECIFIED
quantitative analysis of social change,0,UNSPECIFIED
psychedelicinduced states of openness,0,UNSPECIFIED
formal theories of the relationship between qualia and physical invariants,0,UNSPECIFIED
formal analysis of the intrinsic structure of phenomenal experience,0,UNSPECIFIED
rigorous mathematical models of cognition,0,UNSPECIFIED
computational models of neural annealing for enhanced learning,0,UNSPECIFIED
causal interventions targeting network hubs to modulate global brain states,0,UNSPECIFIED
rigorous mathematical frameworks,0,UNSPECIFIED
emergent representational spaces in selforganizing neural maps,0,UNSPECIFIED
dmn and internal thought,0,UNSPECIFIED
empirical investigations of subjective reality,0,UNSPECIFIED
adaptive models of motor control,0,UNSPECIFIED
adaptive educational software,30,LOW
neural annealing,10,LOW
quantitative characterization of the phenomenology of awe,0,UNSPECIFIED
psychedelic trajectory control,0,UNSPECIFIED
thalamocortical resonance and perception,0,UNSPECIFIED
peerreviewed analysis of neardeath experiences,0,UNSPECIFIED
peerreviewed research on flow states,0,UNSPECIFIED
qualia information theory,0,UNSPECIFIED
empirical studies of moral intuition,0,UNSPECIFIED
foundational theories of complexity and emergence,0,UNSPECIFIED
computational models of aesthetic judgment,0,UNSPECIFIED
empirical validation of theoretical models,0,UNSPECIFIED
multiscale analysis of cities,0,UNSPECIFIED
frontier development of personalized neuromodulation based on connectome harmonics,0,UNSPECIFIED
latent representations in neuroscience,0,UNSPECIFIED
highimpact studies on embodied intelligence,0,UNSPECIFIED
causal inference from longitudinal studies of contemplative practice,0,UNSPECIFIED
quantitative analysis of historical narratives,0,UNSPECIFIED
quantitative analysis of peak experiences,0,UNSPECIFIED
computational theories of emotion,0,UNSPECIFIED
adaptive learning algorithms,10,LOW
adaptive machine learning,10,LOW
adaptive learning machine learning,10,LOW
adadelta,10,LOW
adaptive algorithm in machine learning,0,UNSPECIFIED
adaptive boosting in machine learning,10,UNSPECIFIED
adaptive control reinforcement learning,0,UNSPECIFIED
adaptive learning algorithm python,0,UNSPECIFIED
adaptive learning algorithms education,10,LOW
adaptive learning in artificial intelligence,10,LOW
adaptive learning in artificial intelligence ppt,10,UNSPECIFIED
adaptive learning in machine learning,10,UNSPECIFIED
adaptive learning models,20,UNSPECIFIED
adaptive learning neural network,10,UNSPECIFIED
adaptive learning python,10,LOW
adaptive learning rate,10,LOW
adaptive learning rate keras,10,UNSPECIFIED
adaptive learning rate python,0,UNSPECIFIED
adaptive learning rate pytorch,10,UNSPECIFIED
adaptive learning rate tensorflow,0,UNSPECIFIED
adaptive machine in machine learning,0,UNSPECIFIED
adaptive machine learning algorithms,10,UNSPECIFIED
adaptive machine learning examples,0,UNSPECIFIED
adaptive machine learning python,10,UNSPECIFIED
adaptive models machine learning,0,UNSPECIFIED
adaptive networks in neural networks,0,UNSPECIFIED
adaptive reinforcement learning,10,LOW
adaptive vision deep learning,0,UNSPECIFIED
algorithms with adaptive learning rates,0,UNSPECIFIED
an adaptive ensemble machine learning model for intrusion detection,0,UNSPECIFIED
lms algorithm python,10,UNSPECIFIED
self adaptive learning,10,UNSPECIFIED
tensorflow adaptive learning rate,0,UNSPECIFIED
hierarchical predictive coding models of depersonalization disorder,0,UNSPECIFIED
causal discovery of drivers of hedonic adaptation,0,UNSPECIFIED
highimpact research on the informationtheoretic basis of phenomenal unity,0,UNSPECIFIED
dmn suppression and creativity,0,UNSPECIFIED
multiscale network communication,0,UNSPECIFIED
causal identification of circuit motifs responsible for phenomenal binding,0,UNSPECIFIED
quantitative analysis of nondual states,0,UNSPECIFIED
peerreviewed models of consciousness based on integrated information,0,UNSPECIFIED
causal inference in sociology,0,UNSPECIFIED
systemlevel analysis of financial systems,0,UNSPECIFIED
emergent phenomena in complex materials,0,UNSPECIFIED
computational models of psychedelicinduced neural annealing for creativity,0,UNSPECIFIED
systemlevel simulation of the brain's response to transcranial stimulation,0,UNSPECIFIED
validated digital interventions for mental health,0,UNSPECIFIED
quantitative analysis of altered states of consciousness,0,UNSPECIFIED
qualia feature spaces,0,UNSPECIFIED
foundational principles of selforganization,0,UNSPECIFIED
neural vibrations,0,UNSPECIFIED
lowvalence states,0,UNSPECIFIED
validated biomarkers of wellbeing,0,UNSPECIFIED
validated psychophysics,0,UNSPECIFIED
validated measures of consciousness,0,UNSPECIFIED
hierarchical models of the self,0,UNSPECIFIED
foundational theories of life,0,UNSPECIFIED
systemlevel analysis of the global climate,0,UNSPECIFIED
reproducible psychophysical experiments on the temporal structure of experience,0,UNSPECIFIED
validated models of emotional regulation,0,UNSPECIFIED
highimpact analysis of connectome eigenmodes during meditation,0,UNSPECIFIED
foundational theories linking consciousness to thermodynamic principles,0,UNSPECIFIED
multiscale analysis of developmental neuroscience,0,UNSPECIFIED
thalamocortical network dynamics,0,UNSPECIFIED
insilico search for pharmacological agents that promote neurogenesis,0,UNSPECIFIED
quantitative comparison of meditative and psychedelic statespaces,0,UNSPECIFIED
canonical models of sensory processing,0,UNSPECIFIED
multiscale graph theoretical analysis of connectomes across species,0,UNSPECIFIED
thalamic burst firing models,0,UNSPECIFIED
causal inference in epidemiology,10,LOW
adaptive machine learning,10,LOW
adaptive learning machine learning,10,LOW
adaptive boosting in machine learning,10,UNSPECIFIED
adaptive learning in machine learning,10,UNSPECIFIED
adaptive learning python,10,LOW
adaptive machine in machine learning,0,UNSPECIFIED
adaptive machine learning algorithms,10,UNSPECIFIED
adaptive machine learning examples,0,UNSPECIFIED
adaptive machine learning python,10,UNSPECIFIED
adaptive reinforcement learning,10,LOW
adaptive vision deep learning,0,UNSPECIFIED
causal inference epidemiology examples,10,UNSPECIFIED
causation and causal inference in epidemiology,10,LOW
epidemiology causal inference,10,LOW
marginal structural models and causal inference in epidemiology,10,LOW
neural annealing as a selforganizing process,0,UNSPECIFIED
hierarchical models of language processing,0,UNSPECIFIED
validated prediction of therapeutic outcomes from brain harmonics,0,UNSPECIFIED
frontier research on the hard problem,0,UNSPECIFIED
highimpact research on the harmonic signatures of emotional states,0,UNSPECIFIED
quantitative characterization of the phenomenology of flow and peak performance,0,UNSPECIFIED
phenomenal binding problem in ai,0,UNSPECIFIED
egodissolution spectrum,0,UNSPECIFIED
quantitative models of contemplative practice,0,UNSPECIFIED
phenomenal manifold learning,0,UNSPECIFIED
reproducible and open scientific practices,0,UNSPECIFIED
thalamic regulation of cortical excitability,0,UNSPECIFIED
systemlevel simulations of thalamocortical dysrhythmia and its treatment,0,UNSPECIFIED
phenomenal object files,0,UNSPECIFIED
validated contemplative science,0,UNSPECIFIED
formal models of phenomenal knowledge,0,UNSPECIFIED
multiscale analysis of financial markets,0,UNSPECIFIED
adaptive algorithms in machine learning,0,UNSPECIFIED
phenomenal inertia,0,UNSPECIFIED
validated digital endpoints in clinical trials,0,UNSPECIFIED
peerreviewed models of harmonic resonance in neural ensembles,0,UNSPECIFIED
computational models of psychedelic therapy for existential distress,0,UNSPECIFIED
quantitative analysis of cultural evolution,0,UNSPECIFIED
causal models in social science,0,UNSPECIFIED
peerreviewed studies of consciousness and its disorders,0,UNSPECIFIED
validated deep learning models for decoding emotional states from eeg,0,UNSPECIFIED
multiscale simulations of neurodynamics,0,UNSPECIFIED
formal theories of phenomenal representation and intentionality,0,UNSPECIFIED
peerreviewed framework for quantitative introspection,0,UNSPECIFIED
mechanistic modeling of valencegradient descent in learning,0,UNSPECIFIED
peerreviewed studies on nonduality,0,UNSPECIFIED
latent variable models in genetics,0,UNSPECIFIED
insilico design of novel compounds to enhance cognitive function,0,UNSPECIFIED
frontier development of a formal grammar for subjective experience reports,0,UNSPECIFIED
causal discovery in highdimensional data,0,UNSPECIFIED
empirical studies of nonsymbolic processing,0,UNSPECIFIED
mechanistic causality in brain networks,0,UNSPECIFIED
highimpact research on synthetic sentience,0,UNSPECIFIED
emergent collective intelligence in hybrid humanai systems,0,UNSPECIFIED
adaptive scheduling and resource management,0,UNSPECIFIED
computational models of neural annealing for treating trauma and ptsd,0,UNSPECIFIED
reproducible brain stimulation protocols,0,UNSPECIFIED
quantitative analysis of contemplative traditions,0,UNSPECIFIED
connectome harmonic braincomputer interface,0,UNSPECIFIED
adaptive deep brain stimulation for mitigating epileptic seizures,0,UNSPECIFIED
qualia structural realism,0,UNSPECIFIED
dmn functional hyperconnectivity,0,UNSPECIFIED
emergent functional hierarchies in evolved artificial neural networks,0,UNSPECIFIED
valence charge density,0,UNSPECIFIED
latent variable models of the structure of mystical experiences,0,UNSPECIFIED
rigorous systemlevel analysis of brain network stability and flexibility,0,UNSPECIFIED
reproducible psychophysical methods for measuring phenomenal transparency,0,UNSPECIFIED
highimpact studies on brain entropy,0,UNSPECIFIED
latent topic modeling of large corpora of psychedelic trip reports,0,UNSPECIFIED
systemlevel approaches to medicine,0,UNSPECIFIED
rigorous formalization of the relationship between information and experience,0,UNSPECIFIED
insilico models of organ function,0,UNSPECIFIED
thalamocortical circuits in sensory perception,0,UNSPECIFIED
quantum information theory,30,LOW
information about quantum mechanics,10,UNSPECIFIED
information about quantum physics,10,UNSPECIFIED
information about quantum theory,10,UNSPECIFIED
information in quantum physics,10,UNSPECIFIED
information quantum mechanics,10,UNSPECIFIED
information theory and physics,10,LOW
information theory and statistical mechanics,10,LOW
information theory in physics,10,LOW
information theory quantum mechanics,10,LOW
quantum information and gravity,0,UNSPECIFIED
quantum information physics,10,LOW
quantum mechanics and applications,10,UNSPECIFIED
quantum mechanics and applications book pdf,10,UNSPECIFIED
quantum mechanics and applications pdf,10,UNSPECIFIED
quantum mechanics applications,10,LOW
quantum mechanics with applications,10,LOW
quantum shannon theory,10,LOW
quantum theory of many body systems techniques and applications,0,UNSPECIFIED
statistical physics and information theory,10,UNSPECIFIED
wilde quantum information theory,10,LOW
multiscale analysis of neural avalanches,0,UNSPECIFIED
phenomenal binding in perception and memory,0,UNSPECIFIED
hierarchical active inference models of decisionmaking under uncertainty,0,UNSPECIFIED
formal theories of the structure and limits of introspective knowledge,0,UNSPECIFIED
validated psychometrics for highvalence meditative states,0,UNSPECIFIED
peerreviewed validation of the free energy principle for consciousness,0,UNSPECIFIED
hierarchical bayesian models of selfperception and identity,0,UNSPECIFIED
peerreviewed theories of mind,0,UNSPECIFIED
highimpact research on the evolution of intelligence,0,UNSPECIFIED
insilico neural circuit design,0,UNSPECIFIED
quantitative analysis of altered sensory perception,0,UNSPECIFIED
rigorous validation of theoretical constructs,0,UNSPECIFIED
information theory and the physics of information,0,UNSPECIFIED
validated symmetry theory of valence,0,UNSPECIFIED
systemlevel models of resilience,0,UNSPECIFIED
dmn anticorrelation dynamics,0,UNSPECIFIED
systemlevel analysis of the brain's energy landscape during state transitions,0,UNSPECIFIED
validated measures of prosocial behavior,0,UNSPECIFIED
highimpact research on the geometry of subjective time,0,UNSPECIFIED
egodissolution biomarkers,0,UNSPECIFIED
computational phenomenology framework,0,UNSPECIFIED
systemlevel brain state transitions,0,UNSPECIFIED
frontier affective science,0,UNSPECIFIED
foundational research connecting group theory to the symmetry of valence,0,UNSPECIFIED
emergent swarm behavior in models of cortical columns,0,UNSPECIFIED
reproducible methods for quantifying the energetic cost of brain state transitions,0,UNSPECIFIED
peerreviewed models of psychosis,0,UNSPECIFIED
canonical models of how the basal ganglia influence hedonic tone,0,UNSPECIFIED
connectome harmonics and brain states,0,UNSPECIFIED
mechanistic models of how neural annealing disrupts rigid cognitive patterns,0,UNSPECIFIED
mechanistic models of thalamocortical dysrhythmia in chronic pain,0,UNSPECIFIED
quantitative characterization of the phenomenology of contemplative practices,0,UNSPECIFIED
frontier research in artificial general intelligence,0,UNSPECIFIED
thalamic control of consciousness,0,UNSPECIFIED
thalamic pacemaker models,0,UNSPECIFIED
multiscale analysis of social networks,0,UNSPECIFIED
empirical studies of aesthetic judgment,0,UNSPECIFIED
foundational research on the mathematical structure of qualia spaces,0,UNSPECIFIED
neural annealing and landscape exploration,0,UNSPECIFIED
computational models of resilience,0,UNSPECIFIED
multiscale graph analysis of structural and functional connectomes,0,UNSPECIFIED
hierarchical models of consciousness and working memory,0,UNSPECIFIED
insilico evolution of minimal cognitive architectures for consciousness,0,UNSPECIFIED
mechanistic ego models,0,UNSPECIFIED
phenomenal object recognition,0,UNSPECIFIED
reproducible quantification of the brain's information processing capacity,0,UNSPECIFIED
latent factor analysis of firstperson descriptions of bliss,0,UNSPECIFIED
computational framework for personalized neural annealing therapies,0,UNSPECIFIED
systemlevel models of the microbiomebrain axis,0,UNSPECIFIED
foundational theories of information,0,UNSPECIFIED
information dynamics of brainbody loops,0,UNSPECIFIED
rigorous model selection and validation,0,UNSPECIFIED
frontier research on digital sentience,0,UNSPECIFIED
quantitative analysis of historical trends,0,UNSPECIFIED
mechanistic models of creativity,0,UNSPECIFIED
reproducible neuroimaging methods,0,UNSPECIFIED
psychedelic statespace geometry,0,UNSPECIFIED
reproducible protocols for inducing blissful states through neurofeedback,0,UNSPECIFIED
phenomenal binding and gestalt psychology,0,UNSPECIFIED
causal inference in observational studies,10,LOW
causal inference cross sectional studies,10,UNSPECIFIED
computational models of empathy and compassion,0,UNSPECIFIED
canonical models of cortical computation,0,UNSPECIFIED
psychedelicinduced cognitive flexibility,0,UNSPECIFIED
latent structure of consciousness,0,UNSPECIFIED
informationtheoretic consciousness,0,UNSPECIFIED
empirical validation of the valencesymmetry link in human faces,0,UNSPECIFIED
reproducible induction of specific affective states using sound,0,UNSPECIFIED
validated machine learning models for predicting mood from digital footprints,0,UNSPECIFIED
peerreviewed theories of consciousness,0,UNSPECIFIED
multiscale analysis of network dynamics,0,UNSPECIFIED
neural annealing and network resetting,0,UNSPECIFIED
dmn and daydreaming,0,UNSPECIFIED
reproducible methods for valence induction via harmonic resonance,0,UNSPECIFIED
systemlevel models of the therapeutic action of electroconvulsive therapy,0,UNSPECIFIED
multiscale analysis of ecological systems,0,UNSPECIFIED
informationtheoretic measures of qualia,0,UNSPECIFIED
connectome harmonic spectroscopy,0,UNSPECIFIED
systemlevel analysis of biological networks,0,UNSPECIFIED
peerreviewed framework for the psychophysics of inner experience,0,UNSPECIFIED
adadelta,10,LOW
adaptive federated optimization,10,LOW
adaptive learning rate keras,10,UNSPECIFIED
adaptive learning rate pytorch,10,UNSPECIFIED
adaptive optimization,4400,LOW
adaptive pso,0,UNSPECIFIED
valence dynamics simulation,0,UNSPECIFIED
connectome harmonic signatures,0,UNSPECIFIED
empirical validation of valencesymmetry hypothesis in aesthetics,0,UNSPECIFIED
thalamic control of cortical states,0,UNSPECIFIED
informationtheoretic measures of synergy and transfer entropy in the brain,0,UNSPECIFIED
rigorous statistical model checking,0,UNSPECIFIED
mechanistic modeling of psychedelicinduced dmn desynchronization,0,UNSPECIFIED
emergent computational structures in models of evolving neural networks,0,UNSPECIFIED
psychedelic statespace tomography,0,UNSPECIFIED
highimpact research on the harmonic structure of restingstate networks,0,UNSPECIFIED
quantitative ethnography of altered states,0,UNSPECIFIED
dmn and creative cognition,0,UNSPECIFIED
mechanistic models of attention control,0,UNSPECIFIED
empirical testing of the symmetry theory of valence in social interactions,0,UNSPECIFIED
causal inference in genetics,0,UNSPECIFIED
foundational theories of consciousness as a state of matter,0,UNSPECIFIED
information dynamics in social networks,0,UNSPECIFIED
adaptive algorithms for optimization,0,UNSPECIFIED
adaptive filtering in sensory processing,0,UNSPECIFIED
causal discovery algorithms,10,LOW
pc algorithm causal discovery,10,LOW
latent space of subjective experience,0,UNSPECIFIED
peerreviewed models of emotion,0,UNSPECIFIED
peerreviewed studies on insight,0,UNSPECIFIED
insilico evolution of artificial neural networks with intrinsic valence systems,0,UNSPECIFIED
mechanistic models of insight,0,UNSPECIFIED
emergent phenomena in models of coupled oscillators with complex topologies,0,UNSPECIFIED
highimpact computational discoveries,0,UNSPECIFIED
mechanistic explanations of emergent phenomena,0,UNSPECIFIED
egodissolution as a reset mechanism,0,UNSPECIFIED
latent cognitive variables,0,UNSPECIFIED
phenomenal invariants,0,UNSPECIFIED
latent variable models of personality and brain structure,0,UNSPECIFIED
highimpact neurophilosophy,0,UNSPECIFIED
validated selfreport instruments,0,UNSPECIFIED
rigorous validation of eegbased biomarkers for hedonic tone,0,UNSPECIFIED
thalamic relay synchronization,0,UNSPECIFIED
highimpact computational models of the ego as a dynamical system,0,UNSPECIFIED
egomodel and its dissolution,0,UNSPECIFIED
foundational questions in science,0,UNSPECIFIED
multiscale modeling of the relationship between genes brain and behavior,0,UNSPECIFIED
foundational models of selfhood,0,UNSPECIFIED
valence as a fundamental dimension,0,UNSPECIFIED
emergent computation in nature,0,UNSPECIFIED
informationtheoretic measures of the complexity of the selfmodel,0,UNSPECIFIED
insilico evolution of connectomes optimized for cognitive flexibility,0,UNSPECIFIED
formal models of legal precedent,0,UNSPECIFIED
quantitative models of the transition to meditative states,0,UNSPECIFIED
mechanistic modeling of egodissolution via dmn decoupling,0,UNSPECIFIED
multiscale modeling of the climate system,0,UNSPECIFIED
psychedelicinduced synaptic potentiation,0,UNSPECIFIED
canonical models of how the claustrum orchestrates largescale networks,0,UNSPECIFIED
phenomenal binding and the unity of experience,0,UNSPECIFIED
highimpact studies on system identification,0,UNSPECIFIED
quantitative characterization of the phenomenology of existential angst,0,UNSPECIFIED
emergent properties of social insects,0,UNSPECIFIED
mechanistic models of how connectome harmonics shape the brain's energy landscape,0,UNSPECIFIED
rigorous formalization of the concept of a statespace of consciousness,0,UNSPECIFIED
insilico models of viral evolution,0,UNSPECIFIED
latent semantic analysis of dream and trip reports,0,UNSPECIFIED
systemlevel analysis of network cascades following focal brain lesions,0,UNSPECIFIED
peerreviewed studies of meditation,0,UNSPECIFIED
multiscale modeling of cellular processes,0,UNSPECIFIED
validated therapeutic targets,0,UNSPECIFIED
causal inference in economics and finance,0,UNSPECIFIED
neural annealing parameterization,0,UNSPECIFIED
validated machine learning models for classifying subjective states from physiology,0,UNSPECIFIED
dmntaskpositive network switching,0,UNSPECIFIED
latent variable modeling of the structure of selfreported psychedelic effects,0,UNSPECIFIED
valence field dynamics,0,UNSPECIFIED
valence realism,10,UNSPECIFIED
validated wearable sensors,0,UNSPECIFIED
multiscale analysis of biological organisms,0,UNSPECIFIED
quantitative characterization of the phenomenology of grief and loss,0,UNSPECIFIED
multiscale analysis of information flow between brain hemispheres,0,UNSPECIFIED
latent statespace models of mood disorders from wearable sensor data,0,UNSPECIFIED
systemlevel simulation of network cascades in psychedelic action,0,UNSPECIFIED
connectome harmonic similarity analysis,0,UNSPECIFIED
psychedelicinduced criticality,0,UNSPECIFIED
highimpact research on the computational mechanisms of ego dissolution,0,UNSPECIFIED
emergent selfrepair and resilience in simulated neural networks,0,UNSPECIFIED
hierarchical active inference models for understanding social conformity,0,UNSPECIFIED
mechanistic models of decision making,0,UNSPECIFIED
validated mobile sensing for behavioral science,0,UNSPECIFIED
formal models of how phenomenal consciousness constrains computation,0,UNSPECIFIED
highimpact research on the role of critical dynamics in conscious processing,0,UNSPECIFIED
insilico simulation of largescale brain network evolution,0,UNSPECIFIED
insilico exploration of network topologies that prevent pathological attractor states,0,UNSPECIFIED
emergent cooperative strategies in game theory simulations,0,UNSPECIFIED
neural annealing path integrals,0,UNSPECIFIED
multiscale entropy as a biomarker for cognitive flexibility,0,UNSPECIFIED
multiscale temporal windows,0,UNSPECIFIED
foundational principles of life and mind,0,UNSPECIFIED
reproducible harmonic analysis of restingstate fmri data,0,UNSPECIFIED
phenomenal dissonance,0,UNSPECIFIED
validated measures of emotional intelligence,0,UNSPECIFIED
thalamocortical loops in perception,0,UNSPECIFIED
empirical validation of the symmetry theory of valence in music perception,0,UNSPECIFIED
canonical models of thalamic gating of sensory information,0,UNSPECIFIED
rigorous analysis of integrated information in simulated neural networks,0,UNSPECIFIED
information landscapes of mind,0,UNSPECIFIED
neural annealing dynamics in learning,0,UNSPECIFIED
highimpact research on braininspired ai,0,UNSPECIFIED
informationtheoretic measures of conscious integration,0,UNSPECIFIED
informationbased measures of integration,0,UNSPECIFIED
reproducible induction of specific qualia through neurostimulation,0,UNSPECIFIED
reproducible psychopharmacology,0,UNSPECIFIED
latent diffusion models to explore the space of possible subjective experiences,0,UNSPECIFIED
adaptive coding of salience in the presence of emotional stimuli,0,UNSPECIFIED
information field theory of mind,0,UNSPECIFIED
insilico screening for connectome perturbations that induce highvalence states,0,UNSPECIFIED
computational models of neural annealing in insight problemsolving,0,UNSPECIFIED
empirical testing of the symmetry theory of valence in taste and smell,0,UNSPECIFIED
multiscale entropy analysis of cardiac and neural signals,0,UNSPECIFIED
personal identity theory,10,LOW
multiscale modeling of temporal experience and its distortions,0,UNSPECIFIED
foundational theories of mind,0,UNSPECIFIED
information theory of the self,0,UNSPECIFIED
mechanistic models of how connectome harmonics are modulated by neurotransmitters,0,UNSPECIFIED
latent dynamic models of emotional regulation strategies,0,UNSPECIFIED
mechanistic models of psychopharmacology,0,UNSPECIFIED
quantitative characterization of the phenomenology of peak experiences,0,UNSPECIFIED
canonical computational principles,0,UNSPECIFIED
emergent structures in selforganizing systems,0,UNSPECIFIED
psychedelicinduced alterations in selfconsciousness,0,UNSPECIFIED
validated remote monitoring technologies,0,UNSPECIFIED
latent structures in natural language processing,0,UNSPECIFIED
insilico exploration of connectome robustness and fragility,0,UNSPECIFIED
rigorous models of subjective time,0,UNSPECIFIED
quantitative comparison of the phenomenology of different contemplative traditions,0,UNSPECIFIED
reproducible neuroimaging analysis,0,UNSPECIFIED
valence field theory,0,UNSPECIFIED
validated firstperson reporting techniques,0,UNSPECIFIED
rigorous statistical validation of models,0,UNSPECIFIED
reproducible research in psychology and neuroscience,0,UNSPECIFIED
adaptive coding of uncertainty in perceptual systems,0,UNSPECIFIED
empirical studies of implicit cognition,0,UNSPECIFIED
rigorous analysis of the informationtheoretic properties of brain networks,0,UNSPECIFIED
frontier research on the nature of information,0,UNSPECIFIED
peerreviewed validation of the connectome harmonic framework,0,UNSPECIFIED
computational models of neural annealing for escaping local minima in thought,0,UNSPECIFIED
psychedelicinduced network reorganization,0,UNSPECIFIED
insilico design of psychoactive compounds with targeted therapeutic effects,0,UNSPECIFIED
adaptive neural codes,0,UNSPECIFIED
validated prediction of individual psychedelic response from connectome harmonics,0,UNSPECIFIED
reproducible methods for altering hedonic set points,0,UNSPECIFIED
rigorous introspection methods,0,UNSPECIFIED
psychedelicinduced rebuslike states,0,UNSPECIFIED
systemlevel integration of multimodal data,0,UNSPECIFIED
reproducible computational neuroscience,0,UNSPECIFIED
highimpact research on the role of noise in shaping brain state transitions,0,UNSPECIFIED
systemlevel analysis of network reconfigurations during sleep and anesthesia,0,UNSPECIFIED
frontier research on the binding problem,0,UNSPECIFIED
neural annealing convergence,0,UNSPECIFIED
hierarchical machine learning model,10,LOW
hierarchical machine learning models,10,UNSPECIFIED
hierarchical message passing graph neural networks,10,LOW
hierarchical model machine learning,10,LOW
hierarchical personalized federated learning for user modeling,0,UNSPECIFIED
emergent computational functions,0,UNSPECIFIED
hierarchical control of complex systems,0,UNSPECIFIED
psychedelic statespace navigation aids,0,UNSPECIFIED
insilico screening of natural products for novel psychoactive properties,0,UNSPECIFIED
qualia space navigation,0,UNSPECIFIED
quantitative models of flow states,0,UNSPECIFIED
dmn functional connectivity and psychopathology,0,UNSPECIFIED
qualia space geometry,0,UNSPECIFIED
latent variable discovery,0,UNSPECIFIED
adaptive control of power grids,0,UNSPECIFIED
quantitative models of introspection,0,UNSPECIFIED
psychedelic state vectors,0,UNSPECIFIED
consonancedissonance spectrum,0,UNSPECIFIED
hierarchical models in machine learning,0,UNSPECIFIED
frontier development of a formal language for phenomenology,0,UNSPECIFIED
rigorous analysis of information integration in thalamocortical loops,0,UNSPECIFIED
canonical models of cognitive architecture,0,UNSPECIFIED
emergent collective behavior in models of coupled phase oscillators,0,UNSPECIFIED
latent diffusion models of dream content generation,0,UNSPECIFIED
formal semantics for a language of phenomenal experience,0,UNSPECIFIED
emergent phenomena physics,10,LOW
latent factor model in machine learning,0,UNSPECIFIED
latent factor models machine learning,0,UNSPECIFIED
latent variable deep learning,10,LOW
latent variable in machine learning,10,LOW
latent variable machine learning,10,UNSPECIFIED
latent variable models machine learning,10,UNSPECIFIED
machine learning latent variables,10,UNSPECIFIED
model emergent dynamics in complex systems,10,UNSPECIFIED
quantum theory as an emergent phenomenon,10,UNSPECIFIED
latent variable models in machine learning,10,UNSPECIFIED
rigorous firstperson methods,0,UNSPECIFIED
egodissolution rebinding process,0,UNSPECIFIED
causal networks in biology,0,UNSPECIFIED
reproducible protocols for mapping phenomenal statespace geometry,0,UNSPECIFIED
highimpact studies on the geometric structure of emotional space,0,UNSPECIFIED
validated methods for phenomenological inquiry,0,UNSPECIFIED
highimpact research on the computational function of brain criticality,0,UNSPECIFIED
emergent phenomena in physics,0,UNSPECIFIED
emergent dynamics in complex systems,0,UNSPECIFIED
phenomenal holism,0,UNSPECIFIED
frontier research on synthetic qualia,0,UNSPECIFIED
validated prediction of individual responses to neural annealing,0,UNSPECIFIED
phenomenal binding and sensory integration,0,UNSPECIFIED
causal dissection of amygdalaprefrontal circuits in fear extinction,0,UNSPECIFIED
neural shannon entropy,0,UNSPECIFIED
adaptive resonance models of perceptual learning and expertise,0,UNSPECIFIED
foundational research on the mathematics of phenomenal binding,0,UNSPECIFIED
empirical validation of resonancebased theories of perception,0,UNSPECIFIED
connectome fingerprinting,0,UNSPECIFIED
information theory in neuroscience,10,LOW
neuroscience information framework,10,UNSPECIFIED
principles of neural information theory computational neuroscience and metabolic efficiency,10,UNSPECIFIED
emergent patterns of synchrony in largescale neuronal simulations,0,UNSPECIFIED
formal analysis of the philosophical implications of qualia formalism,0,UNSPECIFIED
frontier research on the qualia of mathematical insight,0,UNSPECIFIED
mechanistic models of thought,0,UNSPECIFIED
reproducible induction protocols for nonsymbolic awareness states,0,UNSPECIFIED
connectome harmonic therapy,0,UNSPECIFIED
reproducible neural annealing protocols,0,UNSPECIFIED
thalamic gating of sensory information flow,0,UNSPECIFIED
peerreviewed studies on contemplative neuroscience,0,UNSPECIFIED
hierarchical active inference models of interoceptive dysfunction in anxiety,0,UNSPECIFIED
